Symbol,Industry,ISIN Code,Indices
INDHOTEL,Consumer Services,INE053A01029,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
IOC,Oil Gas & Consumable Fuels,INE242A01010,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
IOB,Financial Services,INE565A01014,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PSU BANK"
IRCTC,Consumer Services,INE335Y01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
IRFC,Financial Services,INE053F01010,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
IREDA,Financial Services,INE202E01016,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
IGL,Oil Gas & Consumable Fuels,INE203G01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
INDUSTOWER,Telecommunication,INE121J01017,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
INDUSINDBK,Financial Services,INE095A01012,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY BANK"
NAUKRI,Consumer Services,INE663F01032,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
INFY,Information Technology,INE009A01021,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
INOXWIND,Capital Goods,INE066P01011,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
INTELLECT,Information Technology,INE306R01017,"NIFTY 500, NIFTY SMALLCAP 250"
INDIGO,Services,INE646L01027,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
IGIL,Services,INE0Q9301021,"NIFTY 500, NIFTY SMALLCAP 250"
IKS,Information Technology,INE115Q01022,"NIFTY 500, NIFTY SMALLCAP 250"
IPCALAB,Healthcare,INE571A01038,"NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
JBCHEPHARM,Healthcare,INE572A01036,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
JKCEMENT,Construction Materials,INE823G01014,"NIFTY 500, NIFTY MIDCAP 150"
JBMA,Automobile and Auto Components,INE927D01051,"NIFTY 500, NIFTY SMALLCAP 250"
JKTYRE,Automobile and Auto Components,INE573A01042,"NIFTY 500, NIFTY SMALLCAP 250"
JMFINANCIL,Financial Services,INE780C01023,"NIFTY 500, NIFTY SMALLCAP 250"
